REF_DATE,GEO,DGUID,Disability type,Age group,Sex,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012,Canada,2016A000011124,Hearing,"Total,15 years and over",Males,Number,223,units ,0,v87225149,1.2.1.2,459570,,,,0
2012,Canada,2016A000011124,Hearing,"Total,15 years and over",Females,Number,223,units ,0,v87225150,1.2.1.3,415020,,,,0
2012,Canada,2016A000011124,Hearing,15 to 64 years,Both sexes,Number,223,units ,0,v87225151,1.2.2.1,424840,,,,0
2012,Canada,2016A000011124,Hearing,15 to 64 years,Males,Number,223,units ,0,v87225152,1.2.2.2,224460,,,,0
2012,Canada,2016A000011124,Hearing,15 to 64 years,Females,Number,223,units ,0,v87225153,1.2.2.3,200380,,,,0
2012,Canada,2016A000011124,Hearing,15 to 24 years,Both sexes,Number,223,units ,0,v87225154,1.2.3.1,19990,,,,0
2012,Canada,2016A000011124,Hearing,15 to 24 years,Males,Number,223,units ,0,v87225155,1.2.3.2,9730,E,,,0
2012,Canada,2016A000011124,Hearing,15 to 24 years,Females,Number,223,units ,0,v87225156,1.2.3.3,10270,,,,0
2012,Canada,2016A000011124,Hearing,25 to 44 years,Both sexes,Number,223,units ,0,v87225157,1.2.4.1,83940,,,,0
2012,Canada,2016A000011124,Hearing,25 to 44 years,Males,Number,223,units ,0,v87225158,1.2.4.2,40620,,,,0
2012,Canada,2016A000011124,Hearing,25 to 44 years,Females,Number,223,units ,0,v87225159,1.2.4.3,43320,,,,0
2012,Canada,2016A000011124,Hearing,45 to 64 years,Both sexes,Number,223,units ,0,v87225160,1.2.5.1,320910,,,,0
2012,Canada,2016A000011124,Hearing,45 to 64 years,Males,Number,223,units ,0,v87225161,1.2.5.2,174110,,,,0
2012,Canada,2016A000011124,Hearing,45 to 64 years,Females,Number,223,units ,0,v87225162,1.2.5.3,146800,,,,0
2012,Canada,2016A000011124,Hearing,65 years and over,Both sexes,Number,223,units ,0,v87225163,1.2.6.1,449740,,,,0
2012,Canada,2016A000011124,Hearing,65 years and over,Males,Number,223,units ,0,v87225164,1.2.6.2,235100,,,,0
2012,Canada,2016A000011124,Hearing,65 years and over,Females,Number,223,units ,0,v87225165,1.2.6.3,214640,,,,0
2012,Canada,2016A000011124,Hearing,65 to 74 years,Both sexes,Number,223,units ,0,v87225166,1.2.7.1,181850,,,,0
2012,Canada,2016A000011124,Hearing,65 to 74 years,Males,Number,223,units ,0,v87225167,1.2.7.2,105740,,,,0
2012,Canada,2016A000011124,Hearing,65 to 74 years,Females,Number,223,units ,0,v87225168,1.2.7.3,76110,,,,0
2012,Canada,2016A000011124,Hearing,75 years and over,Both sexes,Number,223,units ,0,v87225169,1.2.8.1,267890,,,,0
2012,Canada,2016A000011124,Hearing,75 years and over,Males,Number,223,units ,0,v87225170,1.2.8.2,129360,,,,0
2012,Canada,2016A000011124,Hearing,75 years and over,Females,Number,223,units ,0,v87225171,1.2.8.3,138540,,,,0
2012,Canada,2016A000011124,Mobility,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225172,1.3.1.1,1971750,,,,0
2012,Canada,2016A000011124,Mobility,"Total,15 years and over",Males,Number,223,units ,0,v87225173,1.3.1.2,833980,,,,0
2012,Canada,2016A000011124,Mobility,"Total,15 years and over",Females,Number,223,units ,0,v87225174,1.3.1.3,1137770,,,,0
2012,Canada,2016A000011124,Mobility,15 to 64 years,Both sexes,Number,223,units ,0,v87225175,1.3.2.1,1083500,,,,0
2012,Canada,2016A000011124,Mobility,15 to 64 years,Males,Number,223,units ,0,v87225176,1.3.2.2,476080,,,,0
2012,Canada,2016A000011124,Mobility,15 to 64 years,Females,Number,223,units ,0,v87225177,1.3.2.3,607420,,,,0
2012,Canada,2016A000011124,Mobility,15 to 24 years,Both sexes,Number,223,units ,0,v87225178,1.3.3.1,44350,,,,0
2012,Canada,2016A000011124,Mobility,15 to 24 years,Males,Number,223,units ,0,v87225179,1.3.3.2,16950,,,,0
2012,Canada,2016A000011124,Mobility,15 to 24 years,Females,Number,223,units ,0,v87225180,1.3.3.3,27390,,,,0
2012,Canada,2016A000011124,Mobility,25 to 44 years,Both sexes,Number,223,units ,0,v87225181,1.3.4.1,215630,,,,0
2012,Canada,2016A000011124,Mobility,25 to 44 years,Males,Number,223,units ,0,v87225182,1.3.4.2,85000,,,,0
2012,Canada,2016A000011124,Mobility,25 to 44 years,Females,Number,223,units ,0,v87225183,1.3.4.3,130620,,,,0
2012,Canada,2016A000011124,Mobility,45 to 64 years,Both sexes,Number,223,units ,0,v87225184,1.3.5.1,823520,,,,0
2012,Canada,2016A000011124,Mobility,45 to 64 years,Males,Number,223,units ,0,v87225185,1.3.5.2,374120,,,,0
2012,Canada,2016A000011124,Mobility,45 to 64 years,Females,Number,223,units ,0,v87225186,1.3.5.3,449400,,,,0
2012,Canada,2016A000011124,Mobility,65 years and over,Both sexes,Number,223,units ,0,v87225187,1.3.6.1,888250,,,,0
2012,Canada,2016A000011124,Mobility,65 years and over,Males,Number,223,units ,0,v87225188,1.3.6.2,357900,,,,0
2012,Canada,2016A000011124,Mobility,65 years and over,Females,Number,223,units ,0,v87225189,1.3.6.3,530350,,,,0
2012,Canada,2016A000011124,Mobility,65 to 74 years,Both sexes,Number,223,units ,0,v87225190,1.3.7.1,388920,,,,0
2012,Canada,2016A000011124,Mobility,65 to 74 years,Males,Number,223,units ,0,v87225191,1.3.7.2,163160,,,,0
2012,Canada,2016A000011124,Mobility,65 to 74 years,Females,Number,223,units ,0,v87225192,1.3.7.3,225750,,,,0
2012,Canada,2016A000011124,Mobility,75 years and over,Both sexes,Number,223,units ,0,v87225193,1.3.8.1,499340,,,,0
2012,Canada,2016A000011124,Mobility,75 years and over,Males,Number,223,units ,0,v87225194,1.3.8.2,194740,,,,0
2012,Canada,2016A000011124,Mobility,75 years and over,Females,Number,223,units ,0,v87225195,1.3.8.3,304600,,,,0
2012,Canada,2016A000011124,Flexibility,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225196,1.4.1.1,2077980,,,,0
2012,Canada,2016A000011124,Flexibility,"Total,15 years and over",Males,Number,223,units ,0,v87225197,1.4.1.2,898420,,,,0
2012,Canada,2016A000011124,Flexibility,"Total,15 years and over",Females,Number,223,units ,0,v87225198,1.4.1.3,1179560,,,,0
2012,Canada,2016A000011124,Flexibility,15 to 64 years,Both sexes,Number,223,units ,0,v87225199,1.4.2.1,1244570,,,,0
2012,Canada,2016A000011124,Flexibility,15 to 64 years,Males,Number,223,units ,0,v87225200,1.4.2.2,555410,,,,0
2012,Canada,2016A000011124,Flexibility,15 to 64 years,Females,Number,223,units ,0,v87225201,1.4.2.3,689150,,,,0
2012,Canada,2016A000011124,Flexibility,15 to 24 years,Both sexes,Number,223,units ,0,v87225202,1.4.3.1,46090,,,,0
2012,Canada,2016A000011124,Flexibility,15 to 24 years,Males,Number,223,units ,0,v87225203,1.4.3.2,20380,E,,,0
2012,Canada,2016A000011124,Flexibility,15 to 24 years,Females,Number,223,units ,0,v87225204,1.4.3.3,25710,,,,0
2012,Canada,2016A000011124,Flexibility,25 to 44 years,Both sexes,Number,223,units ,0,v87225205,1.4.4.1,259220,,,,0
2012,Canada,2016A000011124,Flexibility,25 to 44 years,Males,Number,223,units ,0,v87225206,1.4.4.2,106320,,,,0
2012,Canada,2016A000011124,Flexibility,25 to 44 years,Females,Number,223,units ,0,v87225207,1.4.4.3,152890,,,,0
2012,Canada,2016A000011124,Flexibility,45 to 64 years,Both sexes,Number,223,units ,0,v87225208,1.4.5.1,939270,,,,0
2012,Canada,2016A000011124,Flexibility,45 to 64 years,Males,Number,223,units ,0,v87225209,1.4.5.2,428710,,,,0
2012,Canada,2016A000011124,Flexibility,45 to 64 years,Females,Number,223,units ,0,v87225210,1.4.5.3,510550,,,,0
2012,Canada,2016A000011124,Flexibility,65 years and over,Both sexes,Number,223,units ,0,v87225211,1.4.6.1,833420,,,,0
2012,Canada,2016A000011124,Flexibility,65 years and over,Males,Number,223,units ,0,v87225212,1.4.6.2,343010,,,,0
2012,Canada,2016A000011124,Flexibility,65 years and over,Females,Number,223,units ,0,v87225213,1.4.6.3,490410,,,,0
2012,Canada,2016A000011124,Flexibility,65 to 74 years,Both sexes,Number,223,units ,0,v87225214,1.4.7.1,371340,,,,0
2012,Canada,2016A000011124,Flexibility,65 to 74 years,Males,Number,223,units ,0,v87225215,1.4.7.2,162940,,,,0
2012,Canada,2016A000011124,Flexibility,65 to 74 years,Females,Number,223,units ,0,v87225216,1.4.7.3,208400,,,,0
2012,Canada,2016A000011124,Flexibility,75 years and over,Both sexes,Number,223,units ,0,v87225217,1.4.8.1,462080,,,,0
2012,Canada,2016A000011124,Flexibility,75 years and over,Males,Number,223,units ,0,v87225218,1.4.8.2,180070,,,,0
2012,Canada,2016A000011124,Flexibility,75 years and over,Females,Number,223,units ,0,v87225219,1.4.8.3,282010,,,,0
2012,Canada,2016A000011124,Dexterity,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225220,1.5.1.1,953090,,,,0
2012,Canada,2016A000011124,Dexterity,"Total,15 years and over",Males,Number,223,units ,0,v87225221,1.5.1.2,400160,,,,0
2012,Canada,2016A000011124,Dexterity,"Total,15 years and over",Females,Number,223,units ,0,v87225222,1.5.1.3,552920,,,,0
2012,Canada,2016A000011124,Dexterity,15 to 64 years,Both sexes,Number,223,units ,0,v87225223,1.5.2.1,575520,,,,0
2012,Canada,2016A000011124,Dexterity,15 to 64 years,Males,Number,223,units ,0,v87225224,1.5.2.2,267520,,,,0
2012,Canada,2016A000011124,Dexterity,15 to 64 years,Females,Number,223,units ,0,v87225225,1.5.2.3,308000,,,,0
2012,Canada,2016A000011124,Dexterity,15 to 24 years,Both sexes,Number,223,units ,0,v87225226,1.5.3.1,26620,,,,0
2012,Canada,2016A000011124,Dexterity,15 to 24 years,Males,Number,223,units ,0,v87225227,1.5.3.2,15200,,,,0
2012,Canada,2016A000011124,Dexterity,15 to 24 years,Females,Number,223,units ,0,v87225228,1.5.3.3,11430,E,,,0
2012,Canada,2016A000011124,Dexterity,25 to 44 years,Both sexes,Number,223,units ,0,v87225229,1.5.4.1,111820,,,,0
2012,Canada,2016A000011124,Dexterity,25 to 44 years,Males,Number,223,units ,0,v87225230,1.5.4.2,45420,,,,0
2012,Canada,2016A000011124,Dexterity,25 to 44 years,Females,Number,223,units ,0,v87225231,1.5.4.3,66400,,,,0
2012,Canada,2016A000011124,Dexterity,45 to 64 years,Both sexes,Number,223,units ,0,v87225232,1.5.5.1,437080,,,,0
2012,Canada,2016A000011124,Dexterity,45 to 64 years,Males,Number,223,units ,0,v87225233,1.5.5.2,206910,,,,0
2012,Canada,2016A000011124,Dexterity,45 to 64 years,Females,Number,223,units ,0,v87225234,1.5.5.3,230170,,,,0
2012,Canada,2016A000011124,Dexterity,65 years and over,Both sexes,Number,223,units ,0,v87225235,1.5.6.1,377560,,,,0
2012,Canada,2016A000011124,Dexterity,65 years and over,Males,Number,223,units ,0,v87225236,1.5.6.2,132640,,,,0
2012,Canada,2016A000011124,Dexterity,65 years and over,Females,Number,223,units ,0,v87225237,1.5.6.3,244930,,,,0
2012,Canada,2016A000011124,Dexterity,65 to 74 years,Both sexes,Number,223,units ,0,v87225238,1.5.7.1,153680,,,,0
2012,Canada,2016A000011124,Dexterity,65 to 74 years,Males,Number,223,units ,0,v87225239,1.5.7.2,58980,,,,0
2012,Canada,2016A000011124,Dexterity,65 to 74 years,Females,Number,223,units ,0,v87225240,1.5.7.3,94690,,,,0
2012,Canada,2016A000011124,Dexterity,75 years and over,Both sexes,Number,223,units ,0,v87225241,1.5.8.1,223880,,,,0
2012,Canada,2016A000011124,Dexterity,75 years and over,Males,Number,223,units ,0,v87225242,1.5.8.2,73650,,,,0
2012,Canada,2016A000011124,Dexterity,75 years and over,Females,Number,223,units ,0,v87225243,1.5.8.3,150230,,,,0
2012,Canada,2016A000011124,Pain,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225244,1.6.1.1,2664240,,,,0
2012,Canada,2016A000011124,Pain,"Total,15 years and over",Males,Number,223,units ,0,v87225245,1.6.1.2,1106140,,,,0
2012,Canada,2016A000011124,Pain,"Total,15 years and over",Females,Number,223,units ,0,v87225246,1.6.1.3,1558100,,,,0
2012,Canada,2016A000011124,Pain,15 to 64 years,Both sexes,Number,223,units ,0,v87225247,1.6.2.1,1706080,,,,0
2012,Canada,2016A000011124,Pain,15 to 64 years,Males,Number,223,units ,0,v87225248,1.6.2.2,735710,,,,0
2012,Canada,2016A000011124,Pain,15 to 64 years,Females,Number,223,units ,0,v87225249,1.6.2.3,970380,,,,0
2012,Canada,2016A000011124,Pain,15 to 24 years,Both sexes,Number,223,units ,0,v87225250,1.6.3.1,83420,,,,0
2012,Canada,2016A000011124,Pain,15 to 24 years,Males,Number,223,units ,0,v87225251,1.6.3.2,32100,,,,0
2012,Canada,2016A000011124,Pain,15 to 24 years,Females,Number,223,units ,0,v87225252,1.6.3.3,51310,,,,0
2012,Canada,2016A000011124,Pain,25 to 44 years,Both sexes,Number,223,units ,0,v87225253,1.6.4.1,410670,,,,0
2012,Canada,2016A000011124,Pain,25 to 44 years,Males,Number,223,units ,0,v87225254,1.6.4.2,163760,,,,0
2012,Canada,2016A000011124,Pain,25 to 44 years,Females,Number,223,units ,0,v87225255,1.6.4.3,246910,,,,0
2012,Canada,2016A000011124,Pain,45 to 64 years,Both sexes,Number,223,units ,0,v87225256,1.6.5.1,1212000,,,,0
2012,Canada,2016A000011124,Pain,45 to 64 years,Males,Number,223,units ,0,v87225257,1.6.5.2,539850,,,,0
2012,Canada,2016A000011124,Pain,45 to 64 years,Females,Number,223,units ,0,v87225258,1.6.5.3,672150,,,,0
2012,Canada,2016A000011124,Pain,65 years and over,Both sexes,Number,223,units ,0,v87225259,1.6.6.1,958160,,,,0
2012,Canada,2016A000011124,Pain,65 years and over,Males,Number,223,units ,0,v87225260,1.6.6.2,370440,,,,0
2012,Canada,2016A000011124,Pain,65 years and over,Females,Number,223,units ,0,v87225261,1.6.6.3,587720,,,,0
2012,Canada,2016A000011124,Pain,65 to 74 years,Both sexes,Number,223,units ,0,v87225262,1.6.7.1,452660,,,,0
2012,Canada,2016A000011124,Pain,65 to 74 years,Males,Number,223,units ,0,v87225263,1.6.7.2,190700,,,,0
2012,Canada,2016A000011124,Pain,65 to 74 years,Females,Number,223,units ,0,v87225264,1.6.7.3,261960,,,,0
2012,Canada,2016A000011124,Pain,75 years and over,Both sexes,Number,223,units ,0,v87225265,1.6.8.1,505500,,,,0
2012,Canada,2016A000011124,Pain,75 years and over,Males,Number,223,units ,0,v87225266,1.6.8.2,179740,,,,0
2012,Canada,2016A000011124,Pain,75 years and over,Females,Number,223,units ,0,v87225267,1.6.8.3,325760,,,,0
2012,Canada,2016A000011124,Learning,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225268,1.7.1.1,622260,,,,0
2012,Canada,2016A000011124,Learning,"Total,15 years and over",Males,Number,223,units ,0,v87225269,1.7.1.2,303420,,,,0
2012,Canada,2016A000011124,Learning,"Total,15 years and over",Females,Number,223,units ,0,v87225270,1.7.1.3,318840,,,,0
2012,Canada,2016A000011124,Learning,15 to 64 years,Both sexes,Number,223,units ,0,v87225271,1.7.2.1,490230,,,,0
2012,Canada,2016A000011124,Learning,15 to 64 years,Males,Number,223,units ,0,v87225272,1.7.2.2,239820,,,,0
2012,Canada,2016A000011124,Learning,15 to 64 years,Females,Number,223,units ,0,v87225273,1.7.2.3,250420,,,,0
2012,Canada,2016A000011124,Learning,15 to 24 years,Both sexes,Number,223,units ,0,v87225274,1.7.3.1,90350,,,,0
2012,Canada,2016A000011124,Learning,15 to 24 years,Males,Number,223,units ,0,v87225275,1.7.3.2,53380,E,,,0
2012,Canada,2016A000011124,Learning,15 to 24 years,Females,Number,223,units ,0,v87225276,1.7.3.3,36970,,,,0
2012,Canada,2016A000011124,Learning,25 to 44 years,Both sexes,Number,223,units ,0,v87225277,1.7.4.1,139040,,,,0
2012,Canada,2016A000011124,Learning,25 to 44 years,Males,Number,223,units ,0,v87225278,1.7.4.2,63830,,,,0
2012,Canada,2016A000011124,Learning,25 to 44 years,Females,Number,223,units ,0,v87225279,1.7.4.3,75210,,,,0
2012,Canada,2016A000011124,Learning,45 to 64 years,Both sexes,Number,223,units ,0,v87225280,1.7.5.1,260850,,,,0
2012,Canada,2016A000011124,Learning,45 to 64 years,Males,Number,223,units ,0,v87225281,1.7.5.2,122610,,,,0
2012,Canada,2016A000011124,Learning,45 to 64 years,Females,Number,223,units ,0,v87225282,1.7.5.3,138230,,,,0
2012,Canada,2016A000011124,Learning,65 years and over,Both sexes,Number,223,units ,0,v87225283,1.7.6.1,132020,,,,0
2012,Canada,2016A000011124,Learning,65 years and over,Males,Number,223,units ,0,v87225284,1.7.6.2,63600,,,,0
2012,Canada,2016A000011124,Learning,65 years and over,Females,Number,223,units ,0,v87225285,1.7.6.3,68420,,,,0
2012,Canada,2016A000011124,Learning,65 to 74 years,Both sexes,Number,223,units ,0,v87225286,1.7.7.1,53220,,,,0
2012,Canada,2016A000011124,Learning,65 to 74 years,Males,Number,223,units ,0,v87225287,1.7.7.2,24230,,,,0
2012,Canada,2016A000011124,Learning,65 to 74 years,Females,Number,223,units ,0,v87225288,1.7.7.3,28990,E,,,0
2012,Canada,2016A000011124,Learning,75 years and over,Both sexes,Number,223,units ,0,v87225289,1.7.8.1,78800,,,,0
2012,Canada,2016A000011124,Learning,75 years and over,Males,Number,223,units ,0,v87225290,1.7.8.2,39370,,,,0
2012,Canada,2016A000011124,Learning,75 years and over,Females,Number,223,units ,0,v87225291,1.7.8.3,39430,,,,0
2012,Canada,2016A000011124,Memory,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225292,1.8.1.1,628180,,,,0
2012,Canada,2016A000011124,Memory,"Total,15 years and over",Males,Number,223,units ,0,v87225293,1.8.1.2,273350,,,,0
2012,Canada,2016A000011124,Memory,"Total,15 years and over",Females,Number,223,units ,0,v87225294,1.8.1.3,354830,,,,0
2012,Canada,2016A000011124,Memory,15 to 64 years,Both sexes,Number,223,units ,0,v87225295,1.8.2.1,410160,,,,0
2012,Canada,2016A000011124,Memory,15 to 64 years,Males,Number,223,units ,0,v87225296,1.8.2.2,173870,,,,0
2012,Canada,2016A000011124,Memory,15 to 64 years,Females,Number,223,units ,0,v87225297,1.8.2.3,236290,,,,0
2012,Canada,2016A000011124,Memory,15 to 24 years,Both sexes,Number,223,units ,0,v87225298,1.8.3.1,40820,,,,0
2012,Canada,2016A000011124,Memory,15 to 24 years,Males,Number,223,units ,0,v87225299,1.8.3.2,22180,,,,0
2012,Canada,2016A000011124,Memory,15 to 24 years,Females,Number,223,units ,0,v87225300,1.8.3.3,18640,,,,0
2012,Canada,2016A000011124,Memory,25 to 44 years,Both sexes,Number,223,units ,0,v87225301,1.8.4.1,107190,,,,0
2012,Canada,2016A000011124,Memory,25 to 44 years,Males,Number,223,units ,0,v87225302,1.8.4.2,43560,,,,0
2012,Canada,2016A000011124,Memory,25 to 44 years,Females,Number,223,units ,0,v87225303,1.8.4.3,63630,,,,0
2012,Canada,2016A000011124,Memory,45 to 64 years,Both sexes,Number,223,units ,0,v87225304,1.8.5.1,262160,,,,0
2012,Canada,2016A000011124,Memory,45 to 64 years,Males,Number,223,units ,0,v87225305,1.8.5.2,108130,,,,0
2012,Canada,2016A000011124,Memory,45 to 64 years,Females,Number,223,units ,0,v87225306,1.8.5.3,154030,,,,0
2012,Canada,2016A000011124,Memory,65 years and over,Both sexes,Number,223,units ,0,v87225307,1.8.6.1,218020,,,,0
2012,Canada,2016A000011124,Memory,65 years and over,Males,Number,223,units ,0,v87225308,1.8.6.2,99480,,,,0
2012,Canada,2016A000011124,Memory,65 years and over,Females,Number,223,units ,0,v87225309,1.8.6.3,118540,,,,0
2012,Canada,2016A000011124,Memory,65 to 74 years,Both sexes,Number,223,units ,0,v87225310,1.8.7.1,78650,,,,0
2012,Canada,2016A000011124,Memory,65 to 74 years,Males,Number,223,units ,0,v87225311,1.8.7.2,39920,,,,0
2012,Canada,2016A000011124,Memory,65 to 74 years,Females,Number,223,units ,0,v87225312,1.8.7.3,38730,,,,0
2012,Canada,2016A000011124,Memory,75 years and over,Both sexes,Number,223,units ,0,v87225313,1.8.8.1,139370,,,,0
2012,Canada,2016A000011124,Memory,75 years and over,Males,Number,223,units ,0,v87225314,1.8.8.2,59560,,,,0
2012,Canada,2016A000011124,Memory,75 years and over,Females,Number,223,units ,0,v87225315,1.8.8.3,79800,,,,0
2012,Canada,2016A000011124,Developmental,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225316,1.9.1.1,160530,,,,0
2012,Canada,2016A000011124,Developmental,"Total,15 years and over",Males,Number,223,units ,0,v87225317,1.9.1.2,96120,,,,0
2012,Canada,2016A000011124,Developmental,"Total,15 years and over",Females,Number,223,units ,0,v87225318,1.9.1.3,64410,,,,0
2012,Canada,2016A000011124,Developmental,15 to 64 years,Both sexes,Number,223,units ,0,v87225319,1.9.2.1,141500,,,,0
2012,Canada,2016A000011124,Developmental,15 to 64 years,Males,Number,223,units ,0,v87225320,1.9.2.2,87230,,,,0
2012,Canada,2016A000011124,Developmental,15 to 64 years,Females,Number,223,units ,0,v87225321,1.9.2.3,54270,,,,0
2012,Canada,2016A000011124,Developmental,15 to 24 years,Both sexes,Number,223,units ,0,v87225322,1.9.3.1,53300,,,,0
2012,Canada,2016A000011124,Developmental,15 to 24 years,Males,Number,223,units ,0,v87225323,1.9.3.2,35920,,,,0
2012,Canada,2016A000011124,Developmental,15 to 24 years,Females,Number,223,units ,0,v87225324,1.9.3.3,17380,,,,0
2012,Canada,2016A000011124,Developmental,25 to 44 years,Both sexes,Number,223,units ,0,v87225325,1.9.4.1,36530,,,,0
2012,Canada,2016A000011124,Developmental,25 to 44 years,Males,Number,223,units ,0,v87225326,1.9.4.2,19680,,,,0
2012,Canada,2016A000011124,Developmental,25 to 44 years,Females,Number,223,units ,0,v87225327,1.9.4.3,16850,,,,0
2012,Canada,2016A000011124,Developmental,45 to 64 years,Both sexes,Number,223,units ,0,v87225328,1.9.5.1,51670,E,,,0
2012,Canada,2016A000011124,Developmental,45 to 64 years,Males,Number,223,units ,0,v87225329,1.9.5.2,31630,E,,,0
2012,Canada,2016A000011124,Developmental,45 to 64 years,Females,Number,223,units ,0,v87225330,1.9.5.3,20040,E,,,0
2012,Canada,2016A000011124,Developmental,65 years and over,Both sexes,Number,223,units ,0,v87225331,1.9.6.1,19030,E,,,0
2012,Canada,2016A000011124,Developmental,65 years and over,Males,Number,223,units ,0,v87225332,1.9.6.2,8890,E,,,0
2012,Canada,2016A000011124,Developmental,65 years and over,Females,Number,223,units ,0,v87225333,1.9.6.3,,F,,,0
2012,Canada,2016A000011124,Developmental,65 to 74 years,Both sexes,Number,223,units ,0,v87225334,1.9.7.1,,F,,,0
2012,Canada,2016A000011124,Developmental,65 to 74 years,Males,Number,223,units ,0,v87225335,1.9.7.2,2500,E,,,0
2012,Canada,2016A000011124,Developmental,65 to 74 years,Females,Number,223,units ,0,v87225336,1.9.7.3,,F,,,0
2012,Canada,2016A000011124,Developmental,75 years and over,Both sexes,Number,223,units ,0,v87225337,1.9.8.1,9950,E,,,0
2012,Canada,2016A000011124,Developmental,75 years and over,Males,Number,223,units ,0,v87225338,1.9.8.2,,F,,,0
2012,Canada,2016A000011124,Developmental,75 years and over,Females,Number,223,units ,0,v87225339,1.9.8.3,,F,,,0
2012,Canada,2016A000011124,Mental and/or psychological,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225340,1.10.1.1,1059600,,,,0
2012,Canada,2016A000011124,Mental and/or psychological,"Total,15 years and over",Males,Number,223,units ,0,v87225341,1.10.1.2,464540,,,,0
2012,Canada,2016A000011124,Mental and/or psychological,"Total,15 years and over",Females,Number,223,units ,0,v87225342,1.10.1.3,595060,,,,0
2012,Canada,2016A000011124,Mental and/or psychological,15 to 64 years,Both sexes,Number,223,units ,0,v87225343,1.10.2.1,852910,,,,0
2012,Canada,2016A000011124,Mental and/or psychological,15 to 64 years,Males,Number,223,units ,0,v87225344,1.10.2.2,379110,,,,0
2012,Canada,2016A000011124,Mental and/or psychological,15 to 64 years,Females,Number,223,units ,0,v87225345,1.10.2.3,473800,,,,0
